[2018-11-27 22:16:35] main.ERROR: Error: Application is not installed yet.  [] []
[2018-11-27 22:31:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.shani.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-27 22:31:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.shani.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-27 22:31:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.shani.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-27 22:31:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.shani.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-27 22:31:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.shani.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_28","FPC"],"mode":"matchingTag"}} []
[2018-11-27 22:31:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.shani.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_28","FPC"],"mode":"matchingTag"}} []
[2018-11-27 22:31:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.shani.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-27 22:31:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.shani.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-27 22:31:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.shani.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-11-27 22:31:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.shani.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
